cartype;name;short_name
7710;Цистерны газовые для углеводородных газов;ГАЗУВД
7720;Цистерны газовые для сжиженного аммиака;ГАЗАММ
7730;Цистерны газовые для сжиженного хлора;ГАЗХЛР
7740;Цистерны газовые для жидкого кислорода, азота, аргона;ГАЗКИС
7750;Цистерны для винилхлорида (поливинилхлорида);ЦПВНХЛ
7780;Цистерны газовые для сжиженных газоподобных грузов (в т.ч. винила);ГАЗСЖГ
7790;Цистерны химические (газовые), к.п.о.;ЦСЖГПР
7800;Цистерны пищевые;ПИЩ
7810;Цистерны пищевые для молока;МОЛОКО
7820;Цистерны пищевые для растительного масла;ЦСРМСЛ
7830;Цистерны пищевые для виноматериалов и соков;ЦСВИНО
7850;Цистерны пищевые для патоки;ЦСПАТК
7860;Цистерны пищевые для спирта;СПИРТ
7890;Цистерны пищевые, к.п.о.;ПИЩПР
7900;Цистерны для перевозки грузов насыпью;ЦНАСЫП
7910;Цистерны для цемента;ЦЦВ
7930;Цистерны для порошкообразных грузов;ЦПРШК
7950;Цистерны для кальцинированной соды;ЦСДВ
7990;Цистерны, к.п.о.;ЦСПР
8000;Изотермические;РФ
8100;Рефрижераторные поезда, вагоны рефрижераторных поездов и секций;РФР
8101;Рефрижераторные поезда 21-вагонные;РФРП21
8102;Рефрижераторные поезда 12-вагонные;РФРП12
8103;Рефрижераторная секция 6-вагонная;РФРП6
8104;Рефрижераторная секция 5-вагонная;РФРП5
8105;Рефрижераторная секция 3-вагонная;РФРП3
8109;Рефрижераторные поезда и секции, к.п.о.;РФРП
8200;Моторные вагоны рефрижераторного поезда или секции;РФРС
8210;Служебно-технический вагон 21-вагонного рефпоезда;РФРС21
8220;Служебно-технический вагон 12-вагонного рефпоезда;РФРС12
8230;Служебно-технический вагон 5 или 6-вагонной рефсекции;РФРС6
8240;Служебно-технический вагон 3-вагонной рефсекции;РФРС3
8290;Моторные вагоны рефрижераторного поезда или секции, к.п.о;РФРСПР
8300;Грузовые вагоны рефрижераторного поезда или секции;РФРГ
8310;Грузовой вагон 21-вагонного рефпоезда;РФРГ21
8320;Грузовой вагон 12-вагонного рефпоезда;РФРГ12
8330;Грузовой вагон 5 или 6-вагонной рефсекции;РФРГ6
